sheet_name,country,city,kitchen_id,sku,name,product,mep_classification,suggested_units
Andes+Turbo,COL,,08 ANDES,63.0,Pancakes Tradicionales,Pancakes Tradicionales,Alistar,5.0
Colina+Turbo,COL,,06 COLINA,1904,Papas pre Fritas,Papas pre Fritas,,9180
Colina+Turbo,COL,,06 COLINA,287,Guacamole,Guacamole,,1400.0
Colina+Turbo,COL,,06 COLINA,5270,Mix de lechugas,Mix de lechugas,,700.0
Colina+Turbo,COL,,06 COLINA,246,Syrup,Syrup,Madre,4300.0
Colina+Turbo,COL,,06 COLINA,127,Almendra Fileteada,Almendra Fileteada,,270.0
Colina+Turbo,COL,,06 COLINA,1726,pepinillo en conserva,pepinillo en conserva,,240.0
Colina+Turbo,COL,,06 COLINA,3510,Jar de Oreo PROD,Jar de Oreo PROD,,3.0
Colina+Turbo,COL,,06 COLINA,3511,Jar de Limon PROD,Jar de Limon PROD,,3.0
Colina+Turbo,COL,,06 COLINA,3512,Jar de Chocolate PROD,Jar de Chocolate PROD,,3.0
Colina+Turbo,COL,,06 COLINA,3513,Jar 3 Leches PROD,Jar 3 Leches PROD,,3.0
Colina+Turbo,COL,,06 COLINA,3514,Jar de Tiramisu PROD,Jar de Tiramisu PROD,,3.0
